object # 0; status 0 (normal); sprite 0; width 0; height 0; depth 0; weight 0; aux 0
object # 33; status 6 (carobject); sprite 183; width 4; height 4; depth 4; weight 3; aux 0
object # 34; status 6 (carobject); sprite 184; width 4; height 4; depth 4; weight 3; aux 0
object # 35; status 0 (normal); sprite 188; width 4; height 4; depth 4; weight 2; aux 0
object # 36; status 0 (normal); sprite 189; width 4; height 4; depth 4; weight 2; aux 0
object # 37; status 0 (normal); sprite 190; width 4; height 4; depth 4; weight 2; aux 0
object # 38; status 6 (carobject); sprite 185; width 4; height 4; depth 4; weight 3; aux 0
object # 39; status 6 (carobject); sprite 186; width 4; height 4; depth 4; weight 3; aux 0
object # 40; status 0 (normal); sprite 191; width 4; height 4; depth 4; weight 3; aux 0
object # 41; status 8 (scenery); sprite 195; width 4; height 4; depth 4; weight 2; aux 0
object # 42; status 5 (particle); sprite 246; width 11; height 2; depth 1; weight 3; aux 0
object # 43; status 0 (normal); sprite 208; width 2; height 2; depth 2; weight 0; aux 0
object # 44; status 0 (normal); sprite 221; width 2; height 2; depth 2; weight 0; aux 0
object # 45; status 0 (normal); sprite 234; width 2; height 2; depth 2; weight 0; aux 0
object # 46; status 5 (particle); sprite 258; width 8; height 3; depth 16; weight 3; aux 0
object # 47; status 1 (ignorable); sprite 194; width 2; height 2; depth 2; weight 3; aux 0
object # 48; status 6 (carobject); sprite 266; width 8; height 2; depth 1; weight 3; aux 0
object # 49; status 6 (carobject); sprite 274; width 8; height 2; depth 1; weight 3; aux 0
object # 50; status 6 (carobject); sprite 282; width 4; height 4; depth 4; weight 3; aux 0
object # 51; status 5 (particle); sprite 283; width 12; height 2; depth 1; weight 3; aux 0
object # 52; status 6 (carobject); sprite 295; width 4; height 4; depth 4; weight 3; aux 0
object # 53; status 6 (carobject); sprite 296; width 4; height 4; depth 4; weight 3; aux 0
object # 54; status 5 (particle); sprite 315; width 12; height 2; depth 1; weight 3; aux 0
object # 55; status 6 (carobject); sprite 327; width 6; height 6; depth 6; weight 3; aux 0
object # 56; status 6 (carobject); sprite 328; width 6; height 6; depth 6; weight 3; aux 0
object # 57; status 6 (carobject); sprite 329; width 6; height 6; depth 6; weight 3; aux 0
object # 58; status 6 (carobject); sprite 330; width 6; height 6; depth 6; weight 3; aux 0
object # 59; status 6 (carobject); sprite 331; width 6; height 6; depth 6; weight 3; aux 0
object # 60; status 0 (normal); sprite 0; width 0; height 0; depth 0; weight 0; aux 0
object # 61; status 5 (particle); sprite 332; width 11; height 2; depth 1; weight 3; aux 0
object # 62; status 5 (particle); sprite 343; width 11; height 2; depth 1; weight 3; aux 0
object # 63; status 5 (particle); sprite 354; width 12; height 24; depth 1; weight 3; aux 0
object # 64; status 1 (ignorable); sprite 366; width 1; height 1; depth 1; weight 3; aux 0
object # 65; status 3 (invisible); sprite 0; width 64; height 64; depth 8; weight 3; aux 0
object # 66; status 3 (invisible); sprite 0; width 64; height 4; depth 64; weight 3; aux 0
object # 67; status 5 (particle); sprite 367; width 11; height 2; depth 1; weight 3; aux 0
object # 68; status 3 (invisible); sprite 0; width 8; height 8; depth 64; weight 3; aux 0
object # 69; status 0 (normal); sprite 378; width 16; height 16; depth 4; weight 2; aux 0
object # 70; status 6 (carobject); sprite 391; width 4; height 4; depth 4; weight 3; aux 0
object # 71; status 3 (invisible); sprite 0; width 192; height 4; depth 64; weight 3; aux 0
object # 72; status 3 (invisible); sprite 0; width 256; height 4; depth 64; weight 3; aux 0
object # 73; status 3 (invisible); sprite 0; width 512; height 4; depth 64; weight 3; aux 0
object # 74; status 0 (normal); sprite 392; width 2; height 4; depth 1; weight 0; aux 0
object # 75; status 0 (normal); sprite 393; width 8; height 8; depth 1; weight 0; aux 0
object # 76; status 0 (normal); sprite 404; width 8; height 8; depth 4; weight 0; aux 0
object # 77; status 5 (particle); sprite 146; width 1; height 128; depth 1; weight 3; aux 0
object # 78; status 9 (powerup); sprite 412; width 16; height 16; depth 1; weight 1; aux 8
object # 79; status 9 (powerup); sprite 465; width 16; height 16; depth 1; weight 1; aux 8
object # 80; status 9 (powerup); sprite 473; width 16; height 16; depth 1; weight 1; aux 8
object # 81; status 9 (powerup); sprite 481; width 16; height 16; depth 1; weight 1; aux 8
object # 82; status 9 (powerup); sprite 489; width 16; height 16; depth 1; weight 1; aux 8
object # 83; status 9 (powerup); sprite 497; width 16; height 16; depth 1; weight 1; aux 8
object # 84; status 0 (normal); sprite 420; width 32; height 32; depth 1; weight 1; aux 0
object # 85; status 5 (particle); sprite 420; width 13; height 0; depth 0; weight 1; aux 0
object # 86; status 0 (normal); sprite 0; width 0; height 0; depth 0; weight 0; aux 0
object # 87; status 0 (normal); sprite 433; width 12; height 16; depth 1; weight 3; aux 0
object # 88; status 5 (particle); sprite 434; width 8; height 2; depth 0; weight 1; aux 0
object # 89; status 0 (normal); sprite 442; width 27; height 25; depth 1; weight 1; aux 0
object # 90; status 6 (carobject); sprite 455; width 6; height 6; depth 6; weight 3; aux 0
object # 91; status 6 (carobject); sprite 456; width 6; height 6; depth 6; weight 3; aux 0
object # 92; status 5 (particle); sprite 457; width 8; height 0; depth 0; weight 1; aux 0
object # 93; status 5 (particle); sprite 442; width 13; height 0; depth 0; weight 1; aux 1
object # 94; status 8 (scenery); sprite 505; width 4; height 4; depth 4; weight 2; aux 0
object # 95; status 9 (powerup); sprite 506; width 16; height 16; depth 1; weight 1; aux 8
object # 96; status 9 (powerup); sprite 514; width 16; height 16; depth 1; weight 1; aux 8
object # 97; status 9 (powerup); sprite 522; width 16; height 16; depth 1; weight 1; aux 8
object # 98; status 9 (powerup); sprite 530; width 16; height 16; depth 1; weight 1; aux 8
object # 99; status 9 (powerup); sprite 538; width 16; height 16; depth 1; weight 1; aux 8
object # 100; status 9 (powerup); sprite 546; width 16; height 16; depth 1; weight 1; aux 8
object # 101; status 9 (powerup); sprite 554; width 16; height 16; depth 1; weight 1; aux 8

